Table 6,,,,,,,,,,,,
Pocono Township,"10,723",25,0,1,,5,19,282,34,238,10,0
Polk,790,0,0,0,,0,0,0,0,0,0,0
Portage,"2,484",4,0,0,,0,4,28,9,19,0,0
Port Carbon,"1,803",0,0,0,,0,0,1,0,1,0,0
Portersville,236,0,0,0,,0,0,0,0,0,0,0
Portland,508,0,0,0,,0,0,5,1,4,0,0
Port Vue,"3,733",10,0,0,,0,10,35,4,30,1,0
Pottstown,"22,719",154,0,22,,48,84,930,122,753,55,4
Pottsville,"13,703",46,0,14,,8,24,315,31,266,18,2
Pringle,967,1,0,0,,1,0,39,4,34,1,0
Prospect,"1,128",0,0,0,,0,0,0,0,0,0,0
"Pulaski Township, Lawrence County","3,323",6,0,1,,1,4,14,5,7,2,0
Punxsutawney,"5,841",4,0,3,,1,0,39,3,35,1,0
Pymatuning Township,"3,158",34,0,3,,1,30,54,7,46,1,0
Quakertown,"8,831",30,0,3,,1,26,181,17,161,3,2
Quarryville,"2,762",6,0,0,,0,6,85,8,76,1,0
Raccoon Township,"2,992",1,0,0,,1,0,14,4,10,0,0
Radnor Township,"31,625",22,0,1,,0,21,291,30,251,10,0
Rankin,"2,084",8,0,0,,0,8,25,7,12,6,0
Reading,"87,834",597,10,47,,233,307,"2,292",685,"1,417",190,12
Redstone Township,"5,425",0,0,0,,0,0,10,3,7,0,0
Reserve Township,"3,285",4,0,1,,1,2,47,9,36,2,0
Rice Township,"3,544",9,0,0,,0,9,17,5,12,0,0
"Richland Township, Bucks County","13,176",7,0,1,,2,4,260,16,232,12,1
"Richland Township, Cambria County","12,140",10,0,2,,4,4,517,33,482,2,0
Ridgway,"3,863",6,0,1,,1,4,95,7,86,2,0
Ridley Park,"7,041",7,0,0,,2,5,52,4,44,4,0
Ridley Township,"31,110",47,0,2,,22,23,372,35,320,17,1
Ringtown,791,0,0,0,,0,0,2,0,2,0,0
Riverside,"1,909",0,0,0,,0,0,8,0,7,1,0
Roaring Brook Township,"1,936",0,0,0,,0,0,13,2,8,3,0
Roaring Creek Township,539,6,0,0,,0,6,1,1,0,0,1
Roaring Spring,"2,528",0,0,0,,0,0,16,1,15,0,1
"Robinson Township, Allegheny County","13,813",22,0,3,,1,18,319,14,295,10,0
"Robinson Township, Washington County","1,901",1,0,0,,0,1,15,4,11,0,0
Rochester,"3,551",13,1,7,,1,4,203,45,153,5,0
Rochester Township,"2,726",5,0,0,,0,5,23,3,17,3,0
Rockledge,"2,540",5,0,0,,2,3,31,8,23,0,0
Roseto,"1,545",0,0,0,,0,0,14,0,12,2,0
Ross Township,"30,858",22,0,2,,6,14,650,46,595,9,0
Rostraver Township,"11,130",27,1,1,,10,15,417,21,388,8,1
Royersford,"4,771",6,0,0,,1,5,62,8,53,1,0
Rural Valley,844,0,0,0,,0,0,0,0,0,0,0
Rush Township,"3,310",2,0,1,,0,1,145,7,137,1,0
Ryan Township,"2,541",0,0,0,,0,0,7,1,5,1,0
"Salem Township, Luzerne County","4,197",3,0,0,,1,2,49,6,43,0,0
Salisbury Township,"13,762",9,0,0,,6,3,258,43,202,13,0
Saltsburg,832,0,0,0,,0,0,4,0,4,0,0
Sandy Township,"10,699",9,0,4,,1,4,198,26,168,4,0
Saxton,701,0,0,0,,0,0,0,0,0,0,0
Sayre,"6,418",22,0,4,,1,17,139,20,118,1,1
Schuylkill Haven,"5,189",10,0,0,,0,10,71,1,69,1,0
"Schuylkill Township, Chester County","8,587",8,1,0,,0,7,68,4,60,4,0
Scottdale,"4,226",11,1,0,,2,8,103,10,91,2,0
"Scott Township, Allegheny County","16,848",23,0,2,,2,19,215,31,181,3,3
"Scott Township, Columbia County","5,081",3,0,1,,0,2,55,1,54,0,0
"Scott Township, Lackawanna County","4,812",0,0,0,,0,0,0,0,0,0,0
Scranton,"77,332",216,2,35,,63,116,"1,696",360,"1,228",108,9
Selinsgrove,"5,820",56,1,4,,0,51,173,23,149,1,1
Seward,473,0,0,0,,0,0,0,0,0,0,0
Sewickley Heights,821,0,0,0,,0,0,5,4,1,0,0
Shaler Township,"28,467",16,0,0,,8,8,253,37,210,6,1
Shamokin,"7,124",22,0,1,,6,15,156,31,118,7,3
Shamokin Dam,"1,710",4,0,0,,0,4,11,0,11,0,0
Sharon,"13,472",54,3,10,,20,21,422,116,285,21,7
Sharon Hill,"5,703",48,1,0,,9,38,241,19,207,15,0
Sharpsville,"4,244",7,1,0,,0,6,73,12,60,1,0
Shenandoah,"4,835",10,0,3,,0,7,101,25,73,3,7
"Shenango Township, Lawrence County","7,323",10,0,0,,1,9,51,14,31,6,2
"Shenango Township, Mercer County","3,810",13,0,1,,2,10,48,8,39,1,0
Shillington,"5,263",7,0,0,,0,7,64,9,52,3,0
Shinglehouse,"1,086",3,0,0,,0,3,1,0,1,0,0
Shippensburg,"5,568",2,0,0,,0,2,69,6,61,2,0
Shippingport,210,1,0,0,,0,1,2,0,2,0,0
Shiremanstown,"1,582",1,0,0,,0,1,1,1,0,0,0
Shohola Township,"2,332",1,0,0,,0,1,12,3,9,0,0
Silver Spring Township,"16,884",3,0,1,,0,2,152,11,139,2,0
Sinking Spring,"4,121",5,4,1,,0,0,55,11,42,2,0
Slate Belt Regional,"12,358",26,0,5,,1,20,167,30,134,3,1
Slatington,"4,285",4,0,0,,0,4,76,9,65,2,1
Slippery Rock,"3,605",7,0,1,,1,5,42,4,38,0,0
Smethport,"1,584",0,0,0,,0,0,7,2,5,0,0
Solebury Township,"8,628",3,0,1,,0,2,43,4,37,2,0
Somerset,"5,985",5,0,0,,1,4,111,14,94,3,2
Souderton,"6,771",19,0,3,,1,15,56,8,46,2,0
South Abington Township,"9,010",13,0,1,,1,11,84,10,72,2,0
South Annville Township,"2,939",0,0,0,,0,0,8,1,7,0,0
South Beaver Township,"2,656",3,0,0,,0,3,10,0,10,0,0
South Buffalo Township,"2,593",0,0,0,,0,0,14,1,13,0,0
South Centre Township,"4,197",4,0,0,,0,4,14,5,9,0,0
South Coatesville,"1,461",6,0,1,,3,2,20,8,10,2,0
Southern Regional Lancaster County,"3,863",5,0,0,,1,4,10,1,7,2,0
Southern Regional York County,"13,766",25,0,9,,3,13,92,15,76,1,0
South Fayette Township,"15,723",2,0,0,,2,0,65,6,59,0,0
South Fork,866,0,0,0,,0,0,0,0,0,0,0
South Greensburg,"2,042",5,0,0,,0,5,19,2,17,0,0
South Heights,457,0,0,0,,0,0,0,0,0,0,0
South Londonderry Township,"7,807",12,1,2,,1,8,50,8,42,0,0
South Pymatuning Township,"2,615",0,0,0,,0,0,2,1,1,0,0
South Strabane Township,"9,561",13,0,1,,6,6,543,12,525,6,0
Southwestern Regional,"17,774",23,0,17,,0,6,99,13,82,4,0
"Southwest Regional, Fayette County","7,688",5,0,0,,0,5,62,17,42,3,0
"Southwest Regional, Greene County","2,639",0,0,0,,0,0,14,1,13,0,0
South Whitehall Township,"19,797",9,0,1,,4,4,660,45,596,19,1
South Williamsport,"6,261",9,0,2,,1,6,93,5,88,0,0
Springdale,"3,369",11,0,1,,0,10,37,4,32,1,1
Springettsbury Township,"26,931",36,0,7,,12,17,963,35,907,21,0
"Springfield Township, Delaware County","24,438",15,0,1,,5,9,690,43,638,9,2
"Springfield Township, Montgomery County","19,603",22,0,2,,3,17,148,13,129,6,0
Spring Garden Township,"12,977",43,1,2,,17,23,481,77,368,36,1
"Spring Township, Berks County","27,517",15,0,1,,5,9,291,31,254,6,0
"Spring Township, Centre County","7,693",2,0,0,,0,2,36,1,35,0,0
State College,"58,119",39,0,8,,10,21,491,35,447,9,3
St. Clair Township,"1,464",0,0,0,,0,0,3,0,2,1,0
Steelton,"5,921",78,0,5,,10,63,206,31,149,26,2
Stockertown,914,0,0,0,,0,0,0,0,0,0,0
Stoneboro,"1,008",0,0,0,,0,0,0,0,0,0,0
Stowe Township,"6,247",16,0,0,,3,13,209,28,168,13,0
Strasburg,"2,925",3,0,1,,0,2,18,2,15,1,0
Stroud Area Regional,"34,242",84,9,7,,28,40,979,93,855,31,3
Sugarcreek,"5,085",5,0,0,,0,5,45,19,25,1,0
"Sugarloaf Township, Luzerne County","4,111",3,0,0,,0,3,48,6,40,2,0
Summerhill Township,"2,354",0,0,0,,0,0,29,9,20,0,2
Summit Township,"2,184",0,0,0,,0,0,0,0,0,0,0
Sunbury,"9,607",78,0,11,,3,64,266,56,194,16,3
Susquehanna,"1,543",2,0,0,,0,2,0,0,0,0,0
Susquehanna Regional,"8,334",8,0,1,,1,6,109,8,99,2,4
"Susquehanna Township, Dauphin County","24,846",48,0,3,,15,30,320,50,258,12,3
Swarthmore,"6,214",5,0,0,,0,5,56,8,48,0,0
Swatara Township,"24,916",77,2,6,,21,48,894,76,805,13,9
Swissvale,"8,829",30,0,0,,12,18,220,65,141,14,0
Swoyersville,"4,969",4,0,0,,0,4,90,18,71,1,0
Sykesville,"1,131",0,0,0,,0,0,0,0,0,0,0
Tamaqua,"6,777",10,0,1,,0,9,188,38,143,7,1
Tarentum,"4,449",30,0,0,,6,24,107,14,88,5,0
Tatamy,"1,128",0,0,0,,0,0,2,0,2,0,0
Taylor,"5,979",55,1,1,,2,51,150,31,116,3,1
Terre Hill,"1,399",1,0,0,,0,1,5,2,3,0,0
Throop,"3,934",8,0,1,,0,7,55,10,43,2,0
Tiadaghton Valley Regional,"6,554",12,0,4,,1,7,90,7,83,0,0
Tidioute,670,2,0,0,,0,2,0,0,0,0,0
"Tinicum Township, Bucks County","3,957",0,0,0,,0,0,13,5,8,0,0
"Tinicum Township, Delaware County","4,113",17,0,0,,6,11,136,8,114,14,0
Tioga,661,2,0,1,,0,1,2,0,2,0,0
Titusville,"5,349",10,0,1,,1,8,97,17,80,0,0
Towamencin Township,"18,409",6,0,0,,1,5,139,18,121,0,1
Towanda,"2,792",12,0,2,,0,10,89,6,83,0,1
Trainer,"1,847",9,0,0,,3,6,51,5,46,0,0
Tredyffrin Township,"29,601",22,1,2,,6,13,220,25,185,10,1
Troy,"1,259",5,0,1,,1,3,29,4,25,0,0
Tullytown,"1,856",1,0,0,,0,1,25,0,25,0,0
Tulpehocken Township,"3,309",1,0,0,,0,1,4,1,3,0,0
"Tunkhannock Township, Wyoming County","6,254",7,0,0,,1,6,44,10,34,0,0
Turtle Creek,"5,257",7,0,0,,1,6,10,1,7,2,0
Tyrone,"5,330",21,0,1,,2,18,100,7,93,0,0
Union City,"3,197",0,0,0,,0,0,68,22,45,1,0
Uniontown,"9,919",32,2,2,,17,11,292,47,235,10,0
"Union Township, Lawrence County","4,985",12,0,0,,0,12,134,5,129,0,0
Upland,"3,254",47,0,0,,4,43,113,22,85,6,0
Upper Allen Township,"19,815",0,0,0,,0,0,139,20,117,2,2
Upper Burrell Township,"2,260",0,0,0,,0,0,22,4,16,2,0
Upper Chichester Township,"17,054",50,1,2,,20,27,337,29,290,18,2
Upper Darby Township,"82,896",386,6,9,,207,164,"1,354",140,"1,094",120,6
Upper Dublin Township,"26,333",11,0,3,,5,3,222,18,191,13,1
Upper Gwynedd Township,"15,999",13,0,1,,0,12,64,3,60,1,0
Upper Leacock Township,"8,902",7,0,0,,2,5,67,11,51,5,0
Upper Macungie Township,"23,396",11,0,1,,4,6,226,23,191,12,0
Upper Makefield Township,"8,267",2,0,2,,0,0,79,8,71,0,0
Upper Merion Township,"28,661",15,0,2,,10,3,"1,147",54,"1,073",20,0
Upper Moreland Township,"24,270",15,0,1,,6,8,377,24,334,19,3
Upper Nazareth Township,"6,795",5,0,1,,0,4,24,3,20,1,0
Upper Perkiomen,"6,869",9,0,2,,2,5,93,16,70,7,2
Upper Pottsgrove Township,"5,511",5,0,0,,1,4,44,6,37,1,0
"Upper Providence Township, Delaware County","10,510",0,0,0,,0,0,73,6,66,1,0
"Upper Providence Township, Montgomery County","23,927",5,0,0,,4,1,290,18,263,9,0
Upper Saucon Township,"16,451",10,0,1,,0,9,109,20,85,4,0
Upper Southampton Township,"15,114",9,0,1,,3,5,115,27,81,7,1
Upper St. Clair Township,"19,726",3,0,0,,0,3,126,8,117,1,0
Upper Uwchlan Township,"11,603",2,0,0,,2,0,56,10,45,1,0
Uwchlan Township,"19,274",14,2,0,,5,7,159,28,128,3,0
Valley Township,"7,803",8,0,0,,0,8,88,14,71,3,0
Vandergrift,"4,999",16,0,0,,2,14,7,1,6,0,0
Vandling,716,2,0,0,,0,2,3,1,0,2,0
Vernon Township,"5,449",1,0,1,,0,0,42,0,42,0,0
Verona,"2,436",17,0,3,,1,13,64,18,42,4,0
Vintondale,387,0,0,0,,0,0,0,0,0,0,0
Walker Township,"1,018",0,0,0,,0,0,0,0,0,0,0
Wampum,683,0,0,0,,0,0,4,2,2,0,0
Warminster Township,"32,577",25,0,8,,10,7,380,29,339,12,2
Warren,"9,264",30,0,3,,0,27,206,6,200,0,1
Warrington Township,"24,044",7,0,1,,4,2,275,34,235,6,6
"Warwick Township, Bucks County","14,741",13,1,0,,0,12,77,5,67,5,0
"Washington, Washington County","13,421",92,1,9,,29,53,437,86,333,18,2
"Washington Township, Fayette County","3,740",11,0,0,,1,10,49,10,38,1,1
"Washington Township, Franklin County","14,631",11,0,2,,6,3,286,26,258,2,3
"Washington Township, Northampton County","5,180",0,0,0,,0,0,56,7,49,0,0
"Washington Township, Westmoreland County","7,216",3,0,0,,0,3,56,4,50,2,0
Watsontown,"2,315",5,0,0,,2,3,23,4,19,0,1
Waverly Township,"1,708",1,0,0,,0,1,15,7,8,0,0
Waymart,"1,267",0,0,0,,0,0,5,1,4,0,0
Waynesboro,"10,902",29,6,6,,6,11,266,43,211,12,2
Waynesburg,"4,021",9,0,0,,2,7,77,10,66,1,0
"Wayne Township, Lawrence County","2,509",3,0,0,,0,3,1,1,0,0,1
Weatherly,"2,450",18,0,0,,0,18,66,11,55,0,0
West Brandywine Township,"7,482",11,1,1,,0,9,85,20,58,7,1
West Caln Township,"9,097",23,0,0,,1,22,69,21,42,6,0
West Carroll Township,"1,234",2,0,0,,0,2,5,2,3,0,1
West Chester,"20,129",59,0,16,,19,24,403,68,320,15,18
West Cocalico Township,"7,439",7,0,0,,0,7,31,8,23,0,1
West Conshohocken,"1,393",4,0,0,,0,4,26,1,22,3,0
West Cornwall Township,"1,997",4,0,0,,1,3,1,0,1,0,1
West Deer Township,"11,975",2,0,0,,1,1,86,19,65,2,0
West Earl Township,"8,195",10,0,3,,7,0,56,18,38,0,0
Western Berks Regional,"2,549",4,0,1,,1,2,14,10,3,1,0
West Fallowfield Township,"2,602",0,0,0,,0,0,13,2,11,0,0
West Goshen Township,"23,398",22,0,1,,2,19,315,24,282,9,0
West Hempfield Township,"16,538",16,0,2,,2,12,139,13,122,4,4
West Hills Regional,"10,302",11,0,0,,1,10,95,19,72,4,0
West Homestead,"1,917",8,0,1,,1,6,30,1,29,0,0
West Kittanning,"1,126",1,0,0,,0,1,1,1,0,0,0
West Lebanon Township,805,2,0,0,,1,1,63,6,57,0,0
West Leechburg,"1,260",0,0,0,,0,0,4,0,4,0,0
West Manchester Township,"18,880",40,3,3,,13,21,626,44,572,10,0
West Manheim Township,"8,371",5,0,2,,0,3,123,7,113,3,0
West Mead Township,"5,121",5,0,0,,0,5,57,8,48,1,0
West Mifflin,"20,028",24,0,2,,4,18,180,13,158,9,0
West Newton,"2,527",9,0,4,,0,5,42,2,38,2,0
West Norriton Township,"15,799",24,0,1,,4,19,328,35,280,13,0
West Nottingham Township,"2,703",0,0,0,,0,0,0,0,0,0,0
West Penn Township,"4,327",0,0,0,,0,0,13,6,7,0,0
West Pittston,"4,753",16,0,0,,1,15,72,5,63,4,0
West Pottsgrove Township,"3,885",6,0,0,,4,2,128,8,115,5,0
West Reading,"4,186",15,0,2,,4,9,173,14,151,8,0
West Sadsbury Township,"2,481",3,0,0,,1,2,95,5,89,1,0
West Salem Township,"3,463",18,0,1,,0,17,63,12,48,3,1
West Shore Regional,"7,734",8,0,0,,6,2,44,8,31,5,0
Westtown-East Goshen Regional,"32,687",35,0,6,,1,28,264,16,238,10,0
West View,"6,668",11,0,1,,0,10,114,9,105,0,0
West Vincent Township,"5,133",0,0,0,,0,0,18,3,14,1,0
Whitaker Borough,"1,250",2,0,1,,0,1,22,4,18,0,0
Whitehall,"13,812",7,0,1,,2,4,62,16,45,1,2
Whitehall Township,"27,426",28,1,1,,17,9,"1,098",60,"1,009",29,4
Whitemarsh Township,"17,721",6,0,1,,0,5,240,24,196,20,0
White Oak,"7,758",8,0,1,,4,3,129,12,107,10,0
Whitpain Township,"19,237",15,0,0,,2,13,153,24,118,11,0
Wilkes-Barre Township,"2,921",16,0,1,,6,9,668,18,649,1,0
Wilkinsburg,"15,692",167,2,3,,60,102,532,168,304,60,9
Wilkins Township,"6,283",7,0,3,,0,4,165,15,138,12,0
Williamsburg,"1,216",0,0,0,,0,0,5,0,4,1,0
Williamsport,"29,163",104,5,8,,39,52,792,101,668,23,2
Wilson,"7,758",53,0,7,,11,35,296,49,240,7,2
Windber,"3,938",23,0,0,,3,20,26,3,22,1,1
Womelsdorf,"2,860",2,0,1,,0,1,19,5,13,1,0
Worthington,609,0,0,0,,0,0,0,0,0,0,0
Wright Township,"5,659",0,0,0,,0,0,53,4,46,3,0
Wyoming,"3,038",5,0,1,,2,2,118,13,100,5,0
Wyomissing,"10,473",9,0,1,,2,6,378,14,361,3,1
Yardley,"2,442",17,0,0,,0,17,28,3,24,1,0
Yeadon,"11,537",40,3,0,,17,20,337,48,265,24,0
York,"44,017",416,8,12,,208,188,"1,408",298,917,193,11
York Area Regional,"55,292",67,1,13,,6,47,465,78,371,16,2
Youngsville,"1,653",1,0,0,,0,1,13,3,10,0,0
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,
"3 The FBI determined that the agency's data were underreported. Consequently, those data are not included in this table.",,,,,,,,,,,,
"4 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",,,,,,,,,,,,
